Listado de Hisopados

Ord. Pais                 Cant.Hab.  Ene   Feb   Mar   Abr   May   Jun   Jul   Ago   Sep   Oct   Nov   Dic   Tot.    Porc.
   1 Estados Unidos        331000000 20000     0     0     0     0 20500 30500     0     0     0     0 44200 115200 0.03480
   2 Mexico                128000000     0 12000 79200     0     0     0     0 12500     0     0     0     0 103700 0.08102
   3 China                1410000000 25000     0     0     0     0     0 25500     0     0     0     0     0  50500 0.00358
   4 Alemania               83000000     0     0     0     0  9500     0     0 31200     0  9600     0     0  50300 0.06060
   5 India                1390000000     0     0 22000     0 22500     0     0     0     0     0     0     0  44500 0.00320
   6 Canada                 38000000     0 31200     0     0     0     0     0     0  5200     0     0     0  36400 0.09579
   7 Francia                67000000     0     0     0  9000     0     0  9100     0     0     0     0 14100  32200 0.04806
   8 Brasil                213000000     0 15000     0     0     0     0     0     0 15200     0     0     0  30200 0.01418
   9 Rusia                 144000000     0 13000     0     0     0     0     0 13500     0     0     0     0  26500 0.01840
  10 Reino Unido            67000000     0     0     0     0     0  8700     0  8800  8800     0     0     0  26300 0.03925
  11 Italia                 59000000     0     0  8000  8000     0     0     0     0     0     0     0  8200  24200 0.04102
  12 Argentina              46000000  5000     0 10400     0     0     0     0     0     0     0     0  5200  20600 0.04478
  13 Egipto                104000000     0     0  5500     0     0     0     0     0 11200     0     0     0  16700 0.01606
  14 Espana                 48000000     0  7100  2000     0  7000     0     0     0     0     0     0     0  16100 0.03354
  15 Chile                  19000000     0     0     0     0  4000 11400     0     0     0     0     0     0  15400 0.08105
  16 Sudafrica              60000000     0  4800     0     0  4000  4900     0     0     0     0     0     0  13700 0.02283
  17 Japon                 125000000     0     0     0     0     0     0     0  6100     0  6000     0     0  12100 0.00968
  18 Peru                   33000000     0     0  6000     0  6100     0     0     0     0     0     0     0  12100 0.03667
  19 Australia              26000000  3500     0     0  3600     0     0     0     0     0     0     0     0   7100 0.02731
  20 Uruguay                 3500000     0     0     0  1000     0     0  1100     0     0     0     0     0   2100 0.06000
