Listado de Infectados

Ord. Pais                 Cant.Hab.  Ene   Feb   Mar   Abr   May   Jun   Jul   Ago   Sep   Oct   Nov   Dic   Tot.    Porc.
   1 Estados Unidos        331000000  5000     0     0     0     0  5100  5100     0     0     0     0 10100  25300 0.00764
   2 India                1390000000     0     0  6000     0  6100     0     0     0     0     0     0     0  12100 0.00087
   3 Mexico                128000000     0  2500  4700     0     0     0     0  2600     0     0     0     0   9800 0.00766
   4 Francia                67000000     0     0     0  2100     0     0  2200     0     0     0     0  4800   9100 0.01358
   5 China                1410000000  4000     0     0     0     0     0  4200     0     0     0     0     0   8200 0.00058
   6 Brasil                213000000     0  3500     0     0     0     0     0     0  3600     0     0     0   7100 0.00333
   7 Alemania               83000000     0     0     0     0  2300     0     0  2300     0  2400     0     0   7000 0.00843
   8 Rusia                 144000000     0  3000     0     0     0     0     0  3100     0     0     0     0   6100 0.00424
   9 Reino Unido            67000000     0     0     0     0     0  2000     0  2050  2050     0     0     0   6100 0.00910
  10 Italia                 59000000     0     0  2000  2000     0     0     0     0     0     0     0  1900   5900 0.01000
  11 Espana                 48000000     0  1700  1800     0  1800     0     0     0     0     0     0     0   5300 0.01104
  12 Egipto                104000000     0     0  1100     0     0     0     0     0  3500     0     0     0   4600 0.00442
  13 Argentina              46000000  1200     0  2200     0     0     0     0     0     0     0     0  1100   4500 0.00978
  14 Canada                 38000000     0  3050     0     0     0     0     0     0  1050     0     0     0   4100 0.01079
  15 Sudafrica              60000000     0   900     0     0   900   950     0     0     0     0     0     0   2750 0.00458
  16 Chile                  19000000     0     0     0     0   800  1700     0     0     0     0     0     0   2500 0.01316
  17 Peru                   33000000     0     0  1200     0  1250     0     0     0     0     0     0     0   2450 0.00742
  18 Japon                 125000000     0     0     0     0     0     0     0   950     0   900     0     0   1850 0.00148
  19 Australia              26000000   600     0     0   650     0     0     0     0     0     0     0     0   1250 0.00481
  20 Uruguay                 3500000     0     0     0   200     0     0   250     0     0     0     0     0    450 0.01286
